"Rut","Cliente","NumFacturas","NumVencidas","MontoVencido","DiasMoraProm","DiasMoraMax","kpi_monto","kpi_mora","kpi_venc","score_riesgo","Riesgo"
1,"A",31,0,0,0,0,0,0,0,0,"Bajo"
2,"B",30,1,111121,47,47,0.0329040331358872,0.431192660550459,0.333333333333333,0.212476481399748,"Medio"
3,"C",31,3,141590,78.3333333333333,109,0.0419262070329665,0.718654434250764,1,0.436559433791713,"Alto"
4,"D",21,1,233448,47,47,0.0691262743091459,0.431192660550459,0.333333333333333,0.230587601986377,"Medio"
6,"F",25,0,0,0,0,0,0,0,0,"Bajo"
7,"G",30,1,942870,47,47,0.279193183312191,0.431192660550459,0.333333333333333,0.3356210564879,"Alto"
8,"H",31,1,82749,47,47,0.0245028017922943,0.431192660550459,0.333333333333333,0.208275865727951,"Bajo"
9,"I",30,1,232644,47,47,0.0688882019138178,0.431192660550459,0.333333333333333,0.230468565788713,"Medio"
10,"J",18,0,0,0,0,0,0,0,0,"Bajo"
11,"K",30,1,246830,47,47,0.0730888175856143,0.431192660550459,0.333333333333333,0.232568873624611,"Alto"
12,"L",30,0,0,0,0,0,0,0,0,"Bajo"
13,"M",30,0,0,0,0,0,0,0,0,"Bajo"
14,"N",32,0,0,0,0,0,0,0,0,"Bajo"
15,"O",30,1,1549448,47,47,0.458806961189462,0.431192660550459,0.333333333333333,0.425427945426535,"Alto"
16,"P",31,0,0,0,0,0,0,0,0,"Bajo"
17,"Q",33,1,472854,47,47,0.140016771667253,0.431192660550459,0.333333333333333,0.266032850665431,"Alto"
18,"R",31,1,92680,47,47,0.0274434696505074,0.431192660550459,0.333333333333333,0.209746199657058,"Medio"
19,"S",31,2,2747878,63,79,0.81367400190221,0.577981651376147,0.666666666666667,0.713564829697283,"Alto"
20,"T",30,0,0,0,0,0,0,0,0,"Bajo"
21,"U",30,0,0,0,0,0,0,0,0,"Bajo"
22,"V",42,0,0,0,0,0,0,0,0,"Bajo"
23,"W",30,1,52014,47,47,0.0154018626499945,0.431192660550459,0.333333333333333,0.203725396156802,"Bajo"
24,"X",21,0,0,0,0,0,0,0,0,"Bajo"
25,"Y",30,0,0,0,0,0,0,0,0,"Bajo"
26,"Z",30,1,18914,47,47,0.00560062348909901,0.431192660550459,0.333333333333333,0.198824776576354,"Bajo"
28,"AB",35,0,0,0,0,0,0,0,0,"Bajo"
29,"AC",30,1,324851,47,47,0.096191611560606,0.431192660550459,0.333333333333333,0.244120270612107,"Alto"
30,"AD",30,1,234536,47,47,0.0694484419286944,0.431192660550459,0.333333333333333,0.230748685796151,"Medio"
